Origin,Destination,Traffic
Djibouti,Japan,166
Djibouti,Kenya,9253
Djibouti,Somalia,14379
Dominica,British Virgin Islands,18228
Dominica,Dominican Republic,51
Dominica,Guadeloupe,14956
Dominica,Martinique,1329
Dominica,Saint Lucia,16744
Dominica,Sint Maarten,13426
Dominica,United States of America,25326
Dominican Republic,Argentina,14086
Dominican Republic,Bahamas,447
Dominican Republic,Bolivia,864
Dominican Republic,Canada,1584519
Dominican Republic,Chile,33502
Dominican Republic,Costa Rica,27355
Dominican Republic,Dominican Republic,109
Dominican Republic,Ecuador,2
Dominican Republic,Germany,60542
Dominican Republic,Italy,72268
Dominican Republic,Jamaica,305
Dominican Republic,Mexico,250
Dominican Republic,Poland,11792
Dominican Republic,Russia,191799
Dominican Republic,Saint Kitts and Nevis,2555
Dominican Republic,Sint Maarten,46920
Dominican Republic,Spain,4843
Dominican Republic,Switzerland,79576
Dominican Republic,United States of America,391425
Dominican Republic,Venezuela,55911
Ecuador,Bolivia,6257
Ecuador,Canada,3845
Ecuador,Chile,82677
Ecuador,Ecuador,3393325
Ecuador,El Salvador,70234
Ecuador,Mexico,42625
Ecuador,Panama,450597
Ecuador,Peru,189223
Ecuador,Spain,147812
Ecuador,United States of America,393341
Ecuador,Venezuela,7981
Egypt,Albania,8426
Egypt,Angola,438
Egypt,Armenia,2040
Egypt,Austria,292952
Egypt,Belgium,11459
Egypt,Bulgaria,3062
Egypt,Cameroon,3469
Egypt,Canada,115561
Egypt,Chad,25302
Egypt,China,327141
Egypt,Cyprus,38840
Egypt,Czechia,158038
Egypt,Denmark,35612
Egypt,Egypt,2036032
Egypt,Estonia,3881
Egypt,France,404457
Egypt,Georgia,30351
Egypt,Germany,1416096
Egypt,Greece,185
Egypt,Hong Kong,13098
Egypt,Iraq,60683
Egypt,Israel,53702
Egypt,Italy,792581
Egypt,Japan,39505
Egypt,Kazakhstan,17375
Egypt,Kenya,66721
Egypt,Kuwait,1896337
Egypt,Libya,180547
Egypt,Lithuania,16977
Egypt,Luxembourg,2269
Egypt,North Macedonia,4700
Egypt,Malta,5928
Egypt,Morocco,250872
Egypt,Netherlands,18865
Egypt,Nigeria,127266
Egypt,Oman,317137
Egypt,Poland,224365
Egypt,Portugal,942
Egypt,Romania,38107
Egypt,Russia,128108
Egypt,Rwanda,2892
Egypt,Saudi Arabia,6292533
Egypt,Slovakia,7780
Egypt,Slovenia,7945
Egypt,South Africa,77133
Egypt,South Korea,2020
Egypt,South Sudan,17678
Egypt,Spain,131265
Egypt,Sudan,327647
Egypt,Switzerland,299453
Egypt,Tanzania,21330
Egypt,Tunisia,133997
Egypt,Turkey,879919
Egypt,Uganda,37635
Egypt,Ukraine,54321
Egypt,United Arab Emirates,1703829
Egypt,United Kingdom,792098
Egypt,United States of America,241582
Egypt,Uzbekistan,4143
El Salvador,Canada,89681
El Salvador,Costa Rica,337540
El Salvador,Ecuador,73893
El Salvador,Honduras,276224
El Salvador,United States of America,175942
Equatorial Guinea,Benin,2727
Equatorial Guinea,Cameroon,1284
Equatorial Guinea,Equatorial Guinea,268856
Equatorial Guinea,Sao Tome and Principe,6520
Equatorial Guinea,Tunisia,526
Eritrea,Egypt,34499
Eritrea,Italy,234
Eritrea,Norway,57
Eritrea,Saudi Arabia,24327
Eritrea,Sudan,49306
Eritrea,Turkey,28927
Eritrea,United Arab Emirates,83713
Eritrea,United Kingdom,114
Estonia,Austria,45982
Estonia,Bulgaria,166
Estonia,Germany,99429
Estonia,Lithuania,87130
Estonia,Norway,6669
Estonia,Poland,191125
Ethiopia,Angola,109034
Ethiopia,Argentina,25912
Ethiopia,Australia,4
Ethiopia,Austria,82367
Ethiopia,Bahrain,50491
Ethiopia,Belgium,85268
Ethiopia,Benin,38727
Ethiopia,Botswana,41427
Ethiopia,Brazil,97018
Ethiopia,Burkina Faso,38134
Ethiopia,Burundi,57518
Ethiopia,Cameroon,155373
Ethiopia,Canada,107947
Ethiopia,Chad,64187
Ethiopia,China,730413
Ethiopia,Comoros,74702
Ethiopia,Congo,99659
Ethiopia,Democratic Republic of the Congo,300270
Ethiopia,Djibouti,158743
Ethiopia,Egypt,170306
Ethiopia,Equatorial Guinea,48965
Ethiopia,Eritrea,180357
Ethiopia,Ethiopia,2176468
Ethiopia,France,218092
Ethiopia,Gabon,72691
Ethiopia,Germany,308001
Ethiopia,Greece,946
Ethiopia,Guinea,39984
Ethiopia,Hong Kong,76166
Ethiopia,India,590698
Ethiopia,Indonesia,17736
Ethiopia,Ireland,25201
Ethiopia,Israel,167996
Ethiopia,Italy,168900
Ethiopia,Japan,34229
Ethiopia,Jordan,628
Ethiopia,Kenya,599699
Ethiopia,Kuwait,63130
Ethiopia,Lebanon,159336
Ethiopia,Madagascar,74828
Ethiopia,Malawi,139328
Ethiopia,Malaysia,47514
Ethiopia,Mali,52014
Ethiopia,Mozambique,81413
Ethiopia,Namibia,73113
Ethiopia,Niger,43306
Ethiopia,Nigeria,302981
Ethiopia,Norway,43280
Ethiopia,Oman,60400
Ethiopia,Philippines,37835
Ethiopia,Qatar,91316
Ethiopia,Russia,36205
Ethiopia,Rwanda,110264
Ethiopia,Saudi Arabia,499028
Ethiopia,Senegal,53590
Ethiopia,Seychelles,72773
Ethiopia,Singapore,56706
Ethiopia,Somalia,185995
Ethiopia,South Africa,494545
Ethiopia,South Korea,64101
Ethiopia,South Sudan,96720
Ethiopia,Spain,50364
Ethiopia,Sudan,274216
Ethiopia,Sweden,87823
Ethiopia,Switzerland,25234
Ethiopia,Tanzania,370097
Ethiopia,Thailand,108171
Ethiopia,Togo,58996
Ethiopia,Tunisia,199
Ethiopia,Turkey,128866
Ethiopia,Uganda,293846
Ethiopia,United Arab Emirates,650469
Ethiopia,United Kingdom,288185
Ethiopia,United States of America,279983
Ethiopia,Zambia,139290
Ethiopia,Zimbabwe,118938
Falkland Islands (Malvinas),Argentina,1999
Falkland Islands (Malvinas),Chile,10648
Fiji,Australia,529772
Fiji,China,1210
Fiji,Fiji,415736
Fiji,Fiji,8244
Fiji,French Polynesia,702
Fiji,Japan,51091
Fiji,Kiribati,26666
Fiji,New Caledonia,13954
Fiji,New Zealand,32953
Fiji,Papua New Guinea,11759
Fiji,Singapore,44639
Fiji,Tonga,64284
Fiji,United States of America,61978
Fiji,United States of America,3078
Fiji,Vanuatu,51488
Fiji,Wallis and Futuna,13247
Finland,Austria,210104
Finland,Belarus,19471
Finland,Bulgaria,11954
Finland,Cape Verde,5942
Finland,China,546900
Finland,Croatia,109731
Finland,Cyprus,10761
Finland,Czechia,317113
Finland,Dominican Republic,8415
Finland,Estonia,313473
Finland,Finland,3023671
Finland,France,106872
Finland,Germany,1270059
Finland,Greece,183227
Finland,Hong Kong,344045
Finland,Iceland,226858
Finland,Ireland,269
Finland,Israel,60869
Finland,Italy,261295
Finland,Japan,789388
Finland,Kazakhstan,3873
Finland,Latvia,339846
Finland,Lithuania,120374
Finland,Malta,11464
Finland,Mauritius,1460
Finland,Mexico,5152
Finland,Montenegro,8996
Finland,Morocco,9374
Finland,Netherlands,119
Finland,Norway,587272
Finland,Poland,281641
Finland,Portugal,206278
Finland,Romania,36664
Finland,Russia,246035
Finland,Serbia,8935
Finland,Singapore,193595
Finland,Slovenia,32575
Finland,South Korea,211945
Finland,Spain,526094
Finland,Sweden,35033
Finland,Switzerland,228246
Finland,Thailand,84509
Finland,Tunisia,6620
Finland,Turkey,192232
Finland,Ukraine,53167
Finland,United Kingdom,1283415
Finland,United States of America,431261
Finland,Vietnam,11125
France,Albania,28982
France,Algeria,1231114
France,Angola,63415
France,Argentina,192639
France,Armenia,46420
France,Austria,1516785
France,Azerbaijan,24371
France,Bahamas,14018
France,Belarus,83311
France,Belgium,602582
France,Benin,94370
France,Bosnia and Herzegovina,61860
France,Brazil,1035115
France,Bulgaria,301086
France,Burkina Faso,81896
France,Cameroon,218433
France,Canada,2611017
France,Cape Verde,96303
France,Chad,36202
France,Chile,241497
France,China,2079663
France,Taiwan,259169
France,Congo,55014
France,Costa Rica,114785
France,Croatia,556970
France,Cuba,412943
France,Curaçao,1
France,Cyprus,1170
France,Czechia,1124584
France,Democratic Republic of the Congo,54789
France,Denmark,932686
France,Djibouti,16579
France,Dominican Republic,477360
France,Ecuador,41007
France,Egypt,39074
France,Equatorial Guinea,24461
France,Estonia,39441
France,Finland,594851
France,France,26248923
France,French Polynesia,140788
France,Gabon,125906
France,Georgia,85578
France,Germany,6103558
France,Greece,836018
France,Greenland,876
France,Guadeloupe,1493811
France,Guinea,106713
France,Haiti,26427
France,Hong Kong,478019
France,Hungary,81595
France,Iceland,313947
France,India,367417
France,Iran,58895
France,Ireland,1415166
France,Israel,1482428
France,Italy,9286954
France,Japan,1065486
France,Kazakhstan,21978
France,Kenya,255934
France,Kuwait,88562
France,Latvia,174852
France,Lithuania,166009
France,Luxembourg,232607
France,North Macedonia,200083
France,Madagascar,245930
France,Maldives,28364
France,Malta,310027
France,Martinique,1250990
France,Mauritania,21575
France,Mauritius,518451
France,Mayotte,103191
France,Mexico,777783
France,Moldova,97016
France,Montenegro,102407
France,Morocco,5014216
France,Netherlands,79656
France,New Zealand,14
France,Niger,41357
France,Nigeria,144004
France,Norway,765840
France,Oman,207661
France,Pakistan,36778
France,Panama,177152
France,Peru,195385
France,Poland,1246495
France,Portugal,5211636
France,Qatar,751627
France,Reunion,1441593
France,Romania,1075434
France,Russia,375395
France,Saint Pierre and Miquelon,2852
France,Saudi Arabia,292709
France,Senegal,445625
France,Serbia,134216
France,Seychelles,36572
France,Sierra Leone,36968
France,Singapore,436811
France,Sint Maarten,149633
France,Slovenia,102629
France,South Africa,347050
France,South Korea,644420
France,Spain,6251146
France,Sweden,159356
France,Switzerland,2865692
France,Tanzania,1253
France,Togo,93286
France,Tunisia,2910938
France,Turkey,1392784
France,Turks and Caicos Islands,1810
France,Ukraine,405596
France,United Arab Emirates,1166840
France,United Kingdom,6105116
France,United States of America,7439730
France,Uzbekistan,36604
France,Vietnam,382479
France,Western Sahara,15904
French Guiana,Brazil,9736
French Guiana,France,357847
French Guiana,Guadeloupe,63066
French Guiana,Haiti,2546
French Guiana,Martinique,83436
French Guiana,Suriname,27
French Guiana,United States of America,4396
French Polynesia,Chile,7167
French Polynesia,Cook Islands,5555
French Polynesia,French Polynesia,777940
French Polynesia,United States of America,109551
Gabon,Cameroon,26780
Gabon,Congo,23920
Gabon,Equatorial Guinea,12464
Gabon,Gabon,148203
Gabon,Kenya,11018
Gabon,Nigeria,17626
Gabon,Sao Tome and Principe,17279
Gabon,Togo,35010
Gambia,Belgium,66879
Gambia,Brazil,1056
Gambia,Cape Verde,6692
Gambia,Germany,52432
Gambia,Guinea,15691
Gambia,Guinea Bissau,2619
Gambia,Liberia,20039
Gambia,Morocco,50941
Gambia,Netherlands,12452
Gambia,Nigeria,5999
Gambia,Portugal,7343
Gambia,Senegal,58616
Gambia,Sierra Leone,32242
Gambia,Slovakia,370
Gambia,Spain,8726
Gambia,Togo,8677
Gambia,Turkey,24713
Gambia,United Kingdom,52224
Georgia,Armenia,4908
Georgia,Austria,76769
Georgia,Azerbaijan,10270
Georgia,Belarus,44907
Georgia,China,28774
Georgia,Croatia,258
Georgia,Cyprus,33394
Georgia,Czechia,35146
Georgia,Estonia,10748
Georgia,France,12592
Georgia,Georgia,17392
Georgia,Germany,50775
Georgia,Greece,35468
Georgia,Iran,16416
Georgia,Israel,401146
Georgia,Italy,44204
Georgia,Kazakhstan,38104
Georgia,Latvia,30166
Georgia,Lithuania,42652
Georgia,Poland,176005
Georgia,Russia,232264
Georgia,Saudi Arabia,13924
Georgia,Turkey,79348
Georgia,Ukraine,106250
Georgia,United Arab Emirates,143
Georgia,United Kingdom,25627
Germany,Albania,251747
Germany,Algeria,6832
Germany,Angola,44298
Germany,Australia,2
Germany,Austria,6840415
Germany,Azerbaijan,63110
Germany,Belarus,123107
Germany,Belgium,478
Germany,Bosnia and Herzegovina,407900
Germany,Brazil,717990
Germany,Bulgaria,1384116
Germany,Canada,2325197
Germany,Cape Verde,58348
Germany,Chile,24274
Germany,China,2278617
Germany,Taiwan,200254
Germany,Costa Rica,61150
Germany,Croatia,1867394
Germany,Cuba,331565
Germany,Cyprus,155776
Germany,Czechia,1096831
Germany,Denmark,86615
Germany,Dominican Republic,504337
Germany,Egypt,1604464
Germany,Equatorial Guinea,26178
Germany,Estonia,320341
Germany,Finland,902047
Germany,France,2378818
Germany,Georgia,199241
Germany,Germany,23955039
Germany,Greece,3322517
Germany,Grenada,5967
Germany,Guadeloupe,7565
Germany,Hong Kong,398626
Germany,Hungary,2990
Germany,Iceland,358633
Germany,India,186063
Germany,Iran,292852
Germany,Iraq,48690
Germany,Ireland,227328
Germany,Israel,998501
Germany,Italy,7697841
Germany,Jamaica,99816
Germany,Japan,880856
Germany,Kazakhstan,127426
Germany,Kenya,158359
Germany,Kuwait,147019
Germany,Latvia,619976
Germany,Lithuania,538311
Germany,Luxembourg,209562
Germany,North Macedonia,508840
Germany,Malaysia,50218
Germany,Maldives,60217
Germany,Malta,525970
Germany,Mauritius,122881
Germany,Mexico,214865
Germany,Moldova,192142
Germany,Mongolia,19906
Germany,Montenegro,213547
Germany,Morocco,655404
Germany,Namibia,153636
Germany,Netherlands,5011
Germany,Nigeria,170061
Germany,Norway,1305083
Germany,Oman,142041
Germany,Panama,137034
Germany,Poland,3949256
Germany,Portugal,2973219
Germany,Romania,2090394
Germany,Russia,1131055
Germany,Saudi Arabia,310511
Germany,Serbia,678031
Germany,Seychelles,41484
Germany,Singapore,1072364
Germany,Slovakia,8372
Germany,Slovenia,139220
Germany,South Africa,387160
Germany,South Korea,686566
Germany,Spain,15569893
Germany,Sweden,544644
Germany,Switzerland,5441390
Germany,Tanzania,28190
Germany,Thailand,48044
Germany,Trinidad and Tobago,13045
Germany,Tunisia,583631
Germany,Turkey,4613377
Germany,Ukraine,1119028
Germany,United Arab Emirates,513274
Germany,United Kingdom,7105719
Germany,United States of America,6160846
Germany,Uzbekistan,43749
Germany,Vietnam,218137
Ghana,Belgium,114106
Ghana,Burkina Faso,14540
Ghana,Cameroon,384
Ghana,Congo,192
Ghana,Democratic Republic of the Congo,390
Ghana,Egypt,55165
Ghana,Equatorial Guinea,267
Ghana,Ethiopia,170375
Ghana,France,51214
Ghana,Gabon,2
Ghana,Gambia,42388
Ghana,Ghana,564125
Ghana,Guinea,73
Ghana,Italy,28226
Ghana,Kenya,42395
Ghana,Lebanon,13191
Ghana,Liberia,86464
Ghana,Libya,2807
Ghana,Morocco,43186
Ghana,Namibia,3588
Ghana,Netherlands,248137
Ghana,Niger,85
Ghana,Nigeria,293634
Ghana,Portugal,54261
Ghana,Rwanda,26716
Ghana,Sao Tome and Principe,8206
Ghana,Senegal,6235
Ghana,Sierra Leone,48194
Ghana,South Africa,96551
Ghana,Togo,47926
Ghana,Turkey,78104
Ghana,United Arab Emirates,159987
Ghana,United Kingdom,216025
Ghana,United States of America,152446
Gibraltar,Morocco,4454
Gibraltar,United Kingdom,426711
Greece,Albania,131703
Greece,Armenia,39467
Greece,Austria,980432
Greece,Bahrain,44279
Greece,Belgium,439442
Greece,Bosnia and Herzegovina,3853
Greece,Bulgaria,272859
Greece,Canada,297141
Greece,China,62025
Greece,Croatia,97218
Greece,Cyprus,1256982
Greece,Czechia,497572
Greece,Denmark,319441
Greece,Egypt,301754
Greece,Estonia,13790
Greece,Finland,211429
Greece,France,1657667
Greece,Georgia,98438
Greece,Germany,4143097
Greece,Greece,8977875
Greece,Hungary,211205
Greece,Iceland,5881
Greece,Iran,283
Greece,Ireland,153099
Greece,Israel,1092293
Greece,Italy,2749172
Greece,Japan,1118
Greece,Kazakhstan,2554
Greece,Latvia,33510
Greece,Lebanon,169019
Greece,Lithuania,83939
Greece,Luxembourg,57489
Greece,North Macedonia,16537
Greece,Malta,64511
Greece,Moldova,20568
Greece,Montenegro,4806
Greece,Morocco,76041
Greece,Netherlands,231772
Greece,New Zealand,2
Greece,Norway,128327
Greece,Oman,35522
Greece,Poland,948439
Greece,Portugal,119826
Greece,Qatar,339331
Greece,Romania,388572
Greece,Russia,673507
Greece,Saudi Arabia,61954
Greece,Serbia,161688
Greece,Singapore,101399
Greece,Slovakia,53122
Greece,Slovenia,32918
Greece,Spain,761253
Greece,Sweden,47432
Greece,Switzerland,1159163
Greece,Tunisia,7737
Greece,Turkey,886427
Greece,Ukraine,258980
Greece,United Arab Emirates,439715
Greece,United Kingdom,4627659
Greece,United States of America,581112
Greenland,Greenland,410823
Greenland,Iceland,36716
Grenada,Canada,28529
Grenada,Guadeloupe,464
Grenada,Saint Lucia,5981
Grenada,Saint Vincent and the Grenadines,740
Grenada,Trinidad and Tobago,119733
Grenada,United Kingdom,61674
Grenada,United States of America,181438
Guadeloupe,Canada,59858
Guadeloupe,Dominican Republic,29369
Guadeloupe,France,1525
Guadeloupe,Saint Lucia,4215
Guadeloupe,Sint Maarten,15738
Guadeloupe,United States of America,3088
Guatemala,Costa Rica,278811
Guatemala,El Salvador,279504
Guatemala,Guatemala,139942
Guatemala,Honduras,73224
Guatemala,Mexico,466119
Guatemala,Nicaragua,63597
Guatemala,Panama,309107
Guatemala,Spain,133996
Guatemala,United States of America,957660
Guinea,Benin,2
Guinea,Burkina Faso,2342
Guinea,Cape Verde,61
Guinea,Guinea Bissau,34
Guinea,Liberia,281
Guinea,Mauritania,2986
Guinea,Morocco,88175
Guinea,Nigeria,138
Guinea,Portugal,16051
Guinea,Saudi Arabia,1296
Guinea,Senegal,74967
Guinea,Sierra Leone,7423
Guinea,Togo,14171
Guinea,Tunisia,12091
Guinea,Turkey,12913
Guinea,United Arab Emirates,42078
Guinea Bissau,Cape Verde,5991
Guyana,Canada,41964
Guyana,Guyana,79
Guyana,Jamaica,3416
Guyana,Panama,87573
Guyana,Saint Kitts and Nevis,320
Guyana,Suriname,25099
Guyana,Trinidad and Tobago,217512
Guyana,United States of America,251247
Haiti,Bahamas,4951
Haiti,Canada,52535
Haiti,Cuba,77775
Haiti,Dominican Republic,44411
Haiti,Guadeloupe,23414
Haiti,Haiti,36400
Haiti,Panama,54176
Haiti,Sint Maarten,9027
Haiti,Suriname,145
Haiti,Turks and Caicos Islands,29545
Haiti,United States of America,78996
Honduras,Canada,37163
Honduras,El Salvador,31541
Honduras,Honduras,265418
Hong Kong,Australia,2300600
Hong Kong,Austria,1557
Hong Kong,Cambodia,432921
Hong Kong,Canada,1377816
Hong Kong,China,10603843
Hong Kong,Taiwan,8152837
Hong Kong,Fiji,106395
Hong Kong,Germany,268117
Hong Kong,Hong Kong,324
Hong Kong,India,271032
Hong Kong,Indonesia,214379
Hong Kong,Israel,282159
Hong Kong,Italy,175235
Hong Kong,Japan,7636606
Hong Kong,Macau,588
Hong Kong,Malaysia,1840975
Hong Kong,Maldives,141722
Hong Kong,Mauritius,50521
Hong Kong,Mongolia,103453
Hong Kong,Myanmar,192624
Hong Kong,Nepal,169031
Hong Kong,Papua New Guinea,46381
Hong Kong,Philippines,3126785
Hong Kong,Russia,308093
Hong Kong,Singapore,3000999
Hong Kong,South Africa,303630
Hong Kong,South Korea,3260027
Hong Kong,Spain,162096
Hong Kong,Switzerland,402906
Hong Kong,Thailand,769963
Hong Kong,Turkey,189455
Hong Kong,United Kingdom,1941834
Hong Kong,United States of America,2893944
Hong Kong,Vietnam,866412
Hungary,Albania,50900
Hungary,Austria,106064
Hungary,Azerbaijan,31145
Hungary,Belarus,17210
Hungary,Bosnia and Herzegovina,34808
Hungary,Brazil,3
Hungary,Bulgaria,47146
Hungary,Canada,70826
Hungary,China,101287
Hungary,Cyprus,128878
Hungary,Czechia,218613
Hungary,Denmark,231010
Hungary,Egypt,77577
Hungary,Finland,255764
Hungary,France,710276
Hungary,Georgia,43434
Hungary,Germany,2344734
Hungary,Greece,223137
Hungary,Iceland,60120
Hungary,Ireland,283772
Hungary,Israel,569267
Hungary,Italy,1298040
Hungary,Japan,439
Hungary,Kazakhstan,30426
Hungary,Latvia,29309
Hungary,Luxembourg,10140
Hungary,North Macedonia,37734
Hungary,Malta,114219
Hungary,Montenegro,40834
Hungary,Morocco,30438
Hungary,Netherlands,341171
Hungary,Norway,247179
Hungary,Poland,363171
Hungary,Portugal,227848
Hungary,Qatar,201704
Hungary,Romania,94319
Hungary,Russia,539300
Hungary,Serbia,41404
Hungary,South Korea,17820
Hungary,Spain,499219
Hungary,Sweden,160895
Hungary,Switzerland,357745
Hungary,Tunisia,5547
Hungary,Turkey,376012
Hungary,Ukraine,193387
Hungary,United Arab Emirates,261462
Hungary,United Kingdom,2470628
Hungary,United States of America,138087
Iceland,Austria,71244
Iceland,Canada,382314
Iceland,Croatia,1710
Iceland,Czechia,22089
Iceland,France,434
Iceland,Germany,291002
Iceland,Greece,185
Iceland,Greenland,7052
Iceland,Iceland,294759
Iceland,Israel,148
Iceland,Italy,25213
Iceland,Japan,430
Iceland,Latvia,51370
Iceland,Lithuania,30826
Iceland,Morocco,332
Iceland,Netherlands,4486
Iceland,Poland,188236
Iceland,Portugal,670
Iceland,Slovenia,1456
Iceland,Spain,123899
Iceland,Switzerland,91457
Iceland,United Kingdom,186668
Iceland,United States of America,644337
India,Afghanistan,335730
India,Australia,181429
India,Austria,86620
India,Azerbaijan,8772
India,Bangladesh,968537
India,Belgium,6527
India,Bhutan,273194
India,Cambodia,180
India,Canada,413489
India,China,618576
India,Taiwan,65002
India,Egypt,63681
India,Finland,138446
India,France,399819
India,Germany,1381229
India,Hong Kong,1424276
India,Iceland,7885
India,India,147483600
India,Indonesia,5959
India,Iran,97731
India,Iraq,50800
India,Israel,172880
India,Italy,359012
India,Japan,414749
India,Kazakhstan,10748
India,Kenya,193641
India,Kuwait,1457447
India,Malaysia,2387621
India,Maldives,466200
India,Mauritius,207217
India,Myanmar,89794
India,Nepal,962026
India,Oman,3157160
India,Pakistan,3721
India,Philippines,673
India,Poland,34986
India,Qatar,2478588
India,Reunion,18349
India,Russia,427072
India,Rwanda,37149
India,Saudi Arabia,3301854
India,Seychelles,64802
India,Singapore,4158756
India,South Korea,267535
India,Spain,57358
India,Sri Lanka,644076
India,Switzerland,284674
India,Tajikistan,1126
India,Tanzania,30128
India,Thailand,792279
India,Turkey,641875
India,Ukraine,106409
India,United Arab Emirates,10591629
India,United Kingdom,2290427
India,United States of America,1207741
India,Uzbekistan,156949
India,Vietnam,58521
Indonesia,Australia,2768248
Indonesia,Cambodia,52335
Indonesia,China,2464734
Indonesia,Taiwan,833113
Indonesia,Hong Kong,1433433
Indonesia,India,3342
Indonesia,Indonesia,92310570
Indonesia,Japan,1154580
Indonesia,Macau,2216
Indonesia,Malaysia,7944800
Indonesia,New Caledonia,87
Indonesia,Oman,165917
Indonesia,Papua New Guinea,53
Indonesia,Philippines,552820
Indonesia,Qatar,371778
Indonesia,Russia,73241
Indonesia,Saudi Arabia,1446285
Indonesia,Singapore,7227903
Indonesia,South Korea,859785
Indonesia,Spain,5
Indonesia,Sri Lanka,121530
Indonesia,Turkey,304774
Indonesia,Ukraine,1
Indonesia,United Arab Emirates,859465
Indonesia,United Kingdom,40925
Indonesia,United States of America,2
Indonesia,Uzbekistan,3836
Indonesia,Vietnam,162884
Iran,Afghanistan,22462
Iran,Austria,110727
Iran,China,223948
Iran,Georgia,158164
Iran,Germany,12011
Iran,Iran,11471598
Iran,Iraq,917466
Iran,Italy,75448
Iran,Kuwait,68544
Iran,Malaysia,115548
Iran,Oman,98634
Iran,Pakistan,70118
Iran,Russia,208537
Iran,Turkey,1797961
Iran,Ukraine,60023
Iran,United Arab Emirates,176488
Iran,United Kingdom,56202
Iraq,Armenia,18727
Iraq,Austria,57481
Iraq,Azerbaijan,77162
Iraq,Belarus,14969
Iraq,Bulgaria,15637
Iraq,China,24406
Iraq,Denmark,17311
Iraq,Egypt,131180
Iraq,Germany,71998
Iraq,India,74478
Iraq,Iran,304902
Iraq,Iraq,667755
Iraq,Kuwait,3620
Iraq,Malaysia,25588
Iraq,Pakistan,14372
Iraq,Qatar,292026
Iraq,Russia,14791
Iraq,Saudi Arabia,122360
Iraq,Syria,117945
Iraq,Tunisia,3387
Iraq,Turkey,1761536
Iraq,Ukraine,10257
Iraq,United Arab Emirates,682080
Iraq,United Kingdom,22749
Ireland,Austria,247245
Ireland,Bulgaria,59247
Ireland,Canada,494755
Ireland,China,37150
Ireland,Croatia,127578
Ireland,Cyprus,35294
Ireland,Czechia,212100
Ireland,Denmark,441
Ireland,Estonia,20972
Ireland,Finland,110087
Ireland,France,616094
Ireland,Germany,2303579
Ireland,Greece,51171
Ireland,Hong Kong,80928
Ireland,Iceland,142697
Ireland,Ireland,138763
Ireland,Israel,2845
Ireland,Italy,1412754
Ireland,Latvia,141242
Ireland,Lithuania,140031
Ireland,Luxembourg,92455
Ireland,Malta,80548
Ireland,Moldova,73953
Ireland,Morocco,36410
Ireland,Netherlands,98173
Ireland,Norway,135165
Ireland,Poland,901153
Ireland,Portugal,1082602
Ireland,Romania,144906
Ireland,Saudi Arabia,2
Ireland,Spain,1873222
Ireland,Sweden,21819
Ireland,Switzerland,469126
Ireland,Turkey,187640
Ireland,Ukraine,24000
Ireland,United Arab Emirates,416494
Ireland,United Kingdom,8815308
Ireland,United States of America,2678629
Israel,Austria,601287
Israel,Bulgaria,72606
Israel,Canada,272482
Israel,Croatia,39159
Israel,Cyprus,3786
Israel,Czechia,7272
Israel,Finland,4051
Israel,Germany,404987
Israel,Greece,1914
Israel,Israel,741137
Israel,Italy,148696
Israel,Latvia,6006
Israel,Lithuania,71400
Israel,Poland,511396
Israel,Romania,40310
Israel,Russia,118170
Israel,Switzerland,461476
Israel,Tanzania,4112
Israel,Ukraine,21552
Israel,United Kingdom,139
Italy,Albania,1604483
Italy,Austria,2009804
Italy,Azerbaijan,153
Italy,Belarus,52547
Italy,Belgium,448396
Italy,Bosnia and Herzegovina,6138
Italy,Brazil,582163
Italy,Bulgaria,659664
Italy,Canada,900283
Italy,Cape Verde,82170
Italy,Chile,130122
Italy,China,908991
Italy,Taiwan,74258
Italy,Croatia,232791
Italy,Cuba,82644
Italy,Cyprus,71659
Italy,Czechia,1217056
Italy,Denmark,168137
Italy,Dominican Republic,3987
Italy,Egypt,696690
Italy,Estonia,83611
Italy,Finland,313470
Italy,France,2529163
Italy,Georgia,83692
Italy,Germany,7640381
Italy,Greece,1244335
Italy,Guadeloupe,19122
Italy,Hong Kong,141478
Italy,Hungary,178745
Italy,Iceland,8434
Italy,Iran,21783
Italy,Ireland,174115
Italy,Israel,1308433
Italy,Italy,32300887
Italy,Japan,320226
Italy,Kenya,33756
Italy,Kuwait,52511
Italy,Latvia,231547
Italy,Lithuania,295051
Italy,Luxembourg,94356
Italy,North Macedonia,108014
Italy,Madagascar,36826
Italy,Maldives,68423
Italy,Malta,866712
Italy,Mauritius,23933
Italy,Mexico,96274
Italy,Moldova,209887
Italy,Montenegro,128672
Italy,Morocco,716026
Italy,Mozambique,201
Italy,Myanmar,5343
Italy,Netherlands,541143
Italy,Norway,374428
Italy,Oman,9763
Italy,Pakistan,1775
Italy,Panama,2275
Italy,Poland,2265498
Italy,Portugal,1491108
Italy,Romania,2955419
Italy,Russia,660399
Italy,Saudi Arabia,70313
Italy,Serbia,57339
Italy,Singapore,200906
Italy,Slovakia,129796
Italy,Slovenia,222
Italy,South Africa,92860
Italy,South Korea,413423
Italy,Spain,5947579
Italy,Sweden,71064
Italy,Switzerland,2367386
Italy,Tanzania,56519
Italy,Tunisia,452534
Italy,Turkey,1034703
Italy,Ukraine,445866
Italy,United Arab Emirates,228984
Italy,United Kingdom,5751004
Italy,United States of America,1739050
Italy,Uzbekistan,54110
Italy,Vietnam,5109
Jamaica,Bahamas,29338
Jamaica,Canada,898423
